Name,Type,ExptConc,TargetRT,TargetResponse,CalcConc,Accuracy,ResponseRatio,TargetRatio1,TargetRatio2,IntStdRT,IntStdResponse,IntStdRatio1,IntStdRatio2
Sample 32,Sample,,1.232383333,4399.589941,30.33956441,,12.12159867,89.16070747,81.33183255,1.242566667,362.9545955,99.91146219,91.76036115
Sample 33,Sample,,1.232383333,925.3359803,8.474321194,,2.606695202,87.90746999,81.54146879,1.242566667,354.9843417,101.328941,85.72711225
Sample 34,Field Blank,,1.232383333,10.2912052,2.484696945,,0.000243677,140.6554453,115.485581,1.242566667,42232.89945,100.0186826,89.47653067
Sample 35,Field Blank,,0.947216667,0.347454895,2.485954624,,0.000790971,126.0341762,302.4954959,1.242566667,439.2766729,106.0125563,99.80572352
Sample 36,Sample,,1.212016667,50.91240717,2.487005612,,0.001248319,70.33441329,83.10162345,1.242566667,40784.76297,100.7636061,88.98287327
Sample 37,Sample,,1.232383333,0.88721733,2.488327875,,0.001823717,195.0807379,176.701877,1.242566667,486.4884882,99.86291343,88.30979563
Sample 38,Sample,,1.232383333,3831.835005,2.694494553,,0.091539437,91.87610115,82.52273062,1.242566667,41859.93628,101.1969937,89.41728595
Sample 39,Sample,,1.25275,47.76992293,2.697651494,,0.092913215,83.72073238,73.12788754,1.242566667,514.1348623,96.24135773,86.07662968
Sample 40,Sample,,1.232383333,229.9526038,3.963668774,,0.643834697,85.06331191,79.88869395,1.242566667,357.1609373,104.5025252,91.15875085
Sample 41,Sample,,1.232383333,78.51123018,2.951636428,,0.20343758,84.11130452,82.96358305,1.242566667,385.9229452,105.5337044,92.48791972
Sample 42,Sample,,1.232383333,3877.322348,28.78098902,,11.44336727,93.56630748,81.91686649,1.242566667,338.8270476,100.2619451,88.32674111
Sample 43,Field Blank,,1.212016667,32.09645136,2.655111811,,0.074401599,86.93928626,87.01128067,1.242566667,431.3946435,103.3780811,90.67978348
Sample 44,Sample,,1.130533333,1.393253241,3.952605523,,0.639020401,142.6243803,274.0726571,1.05925,2.180295401,,
10 ppb cal std,Cal,10,1.25275,1786.295625,9.723519569,97.23519569,3.150297751,89.41437784,80.9254001,1.242566667,567.0243786,101.2400166,92.46869047
25 ppb cal std,Cal,25,1.25275,4177.059253,20.74279043,82.97116172,7.945455868,87.84236368,81.22932628,1.242566667,525.7167522,95.34349525,89.98325033
50 ppb cal std,Cal,50,1.25275,11863.52134,42.94245212,85.88490424,17.60588524,88.80250199,81.83724963,1.242566667,673.8383884,101.6802189,83.5156786
500 ppb cal std,Cal,500,1.25275,135227.0606,500.887391,100.1774782,216.8857122,89.54188021,82.70998442,1.262933333,623.4945548,105.301141,87.96257463
5000 ppb cal std,Cal,5000,1.232383333,893525.8504,4932.052066,98.64104131,2145.156242,90.85003065,80.62060276,1.242566667,416.5318279,101.2071485,91.86045664
